tsid,time,y_PositiveDirection,y_NegativeDirection,lof,isof,ee
0,0.0,167.60138609624056,138.57457785941313,1.0,1.0,0.0
0,0.0080014587996842,160.14600196099303,152.42841254673175,1.0,1.0,0.0
0,0.0160029175993684,174.19981847440224,144.92852035388236,1.0,1.0,0.0
0,0.0240043763990526,148.77754019988336,148.4038678381562,1.0,1.0,0.0
0,0.0320058351987368,161.79787684893284,136.87245343397652,1.0,1.0,0.0
0,0.040007293998421,166.25230989419362,147.41059514374135,1.0,1.0,0.0
0,0.0480087527981052,142.6644631098764,158.6854387032834,1.0,1.0,0.0
0,0.056010211597789406,172.0020346510994,139.5487222101474,1.0,1.0,0.0
0,0.0640116703974736,123.99716976613787,161.23013127012126,1.0,1.0,0.0
0,0.0720131291971578,157.94830141141006,145.50483272733936,1.0,1.0,0.0
0,0.080014587996842,149.07319459789184,144.36556881311742,1.0,1.0,0.0
0,0.0880160467965262,143.78979620818865,159.96167843788794,1.0,1.0,0.0
0,0.0960175055962104,142.81207863192463,138.04949629238948,1.0,1.0,0.0
0,0.1040189643958946,133.22522885355818,145.64736161033068,1.0,1.0,0.0
0,0.11202042319557881,137.78157530663634,142.04777937106917,1.0,1.0,0.0
0,0.12002188199526301,144.14856724352126,144.530272082029,1.0,1.0,0.0
0,0.1280233407949472,122.96144026256182,156.06297939105497,1.0,1.0,0.0
0,0.1360247995946314,141.04461144057865,131.98790869748424,1.0,1.0,0.0
0,0.1440262583943156,121.57614451246381,146.4783787913998,1.0,1.0,0.0
0,0.1520277171939998,125.57773629016803,144.78799268805986,1.0,1.0,0.0
0,0.160029175993684,136.6708666810557,143.66454913111568,1.0,1.0,0.0
0,0.16803063479336822,108.80201319297159,156.4697105484594,1.0,1.0,0.0
0,0.1760320935930524,127.1090507131597,139.08134121499637,1.0,1.0,0.0
0,0.1840335523927366,116.16800029125008,141.9984527122804,1.0,1.0,0.0
0,0.1920350111924208,118.96383556677252,147.22610496592483,1.0,1.0,0.0
0,0.200036469992105,129.44428171977577,134.81837314926685,1.0,1.0,0.0
0,0.2080379287917892,96.27655489680939,156.62714930494462,1.0,1.0,0.0
0,0.2160393875914734,121.73747399389346,131.4493123106633,1.0,1.0,0.0
0,0.22404084639115762,109.36060668088224,140.3301754024823,1.0,1.0,0.0
0,0.23204230519084182,101.92340474406785,151.7442198440542,1.0,1.0,0.0
0,0.24004376399052602,117.17271237728717,129.5936912428077,1.0,1.0,0.0
0,0.2480452227902102,98.6469159988729,144.82429712455877,1.0,1.0,0.0
0,0.2560466815898944,103.84785775804589,133.3445902828692,1.0,1.0,0.0
0,0.26404814038957863,104.36806181725117,143.71928568442115,1.0,1.0,0.0
0,0.2720495991892628,97.50796515633068,150.02962751238496,1.0,1.0,0.0
0,0.280051057988947,113.15423472705662,129.33506262616248,1.0,1.0,0.0
0,0.2880525167886312,93.29485038352524,153.28698287377682,1.0,1.0,0.0
0,0.2960539755883154,102.89712869660714,133.72747234680304,1.0,1.0,0.0
0,0.3040554343879996,112.46239400478798,133.01364710118236,1.0,1.0,0.0
0,0.3120568931876838,92.7688320530862,151.48826507088444,1.0,1.0,0.0
0,0.320058351987368,107.65523748283421,133.47188956453368,1.0,1.0,0.0
0,0.3280598107870522,95.3303973018982,147.8472067127545,1.0,1.0,0.0
0,0.33606126958673643,101.7005619353623,144.4107412992781,1.0,1.0,0.0
0,0.3440627283864206,108.2301121282356,145.5215142975977,1.0,1.0,0.0
0,0.3520641871861048,94.54692884691379,155.15706767157394,1.0,1.0,0.0
0,0.360065645985789,103.27941466066527,133.8182228966433,1.0,1.0,0.0
0,0.3680671047854732,91.55689843246037,152.71456829110906,1.0,1.0,0.0
0,0.3760685635851574,99.94465291678775,148.0342894162032,1.0,1.0,0.0
0,0.3840700223848416,109.24744710468482,140.9305472512626,1.0,1.0,0.0
0,0.39207148118452584,82.3466623501864,159.46463277385078,1.0,1.0,0.0
0,0.40007293998421,97.85770031217903,137.66123301262058,1.0,1.0,0.0
0,0.40807439878389423,98.44484693417876,145.7092484031031,1.0,1.0,0.0
0,0.4160758575835784,101.70509868277011,148.71632593937804,1.0,1.0,0.0
0,0.4240773163832626,108.92822120907113,147.86736273367467,1.0,1.0,0.0
0,0.4320787751829468,88.44513038407604,149.10010466450606,1.0,1.0,0.0
0,0.440080233982631,108.65953382966502,130.12017250591617,1.0,1.0,0.0
0,0.44808169278231524,103.02610533110891,144.2213246888,1.0,1.0,0.0
0,0.4560831515819994,102.22325408162015,148.1758949104248,1.0,1.0,0.0
0,0.46408461038168364,109.43573480281478,146.06685754953,1.0,1.0,0.0
0,0.4720860691813678,91.0484778723035,148.2039191505249,1.0,1.0,0.0
0,0.48008752798105203,107.96912305677675,130.77986827379175,1.0,1.0,0.0
0,0.4880889867807362,114.00014156977063,144.25859318545616,1.0,1.0,0.0
0,0.4960904455804204,106.55941263095606,147.4749889022304,1.0,1.0,0.0
0,0.5040919043801046,118.26189551436737,135.8300324355394,1.0,1.0,0.0
0,0.5120933631797888,95.653611544459,143.52686036287838,1.0,1.0,0.0
0,0.520094821979473,110.93605188950313,126.43030757182905,1.0,1.0,0.0
0,0.5280962807791573,114.54600549891937,139.62238525561094,1.0,1.0,0.0
