tsid,time,0,lof,isof,ee
0,1992,-0.059531806,0.0,1.0,1.0
0,1993,-0.49609832,0.0,1.0,1.0
0,1994,-0.89297698,0.0,1.0,1.0
0,1995,-1.0120406,0.0,1.0,1.0
0,1996,-1.1311042,0.0,1.0,1.0
0,1997,-1.0914163,0.0,1.0,1.0
0,1998,-1.0517284,0.0,1.0,1.0
0,1999,-1.0517284,0.0,1.0,1.0
0,2000,-1.488295,0.0,1.0,1.0
0,2001,-0.77391338,0.0,1.0,1.0
0,2002,0.33734685,0.0,1.0,1.0
0,2003,0.41672258,0.0,1.0,1.0
0,2004,0.4960983,0.0,1.0,1.0
0,2005,-0.099219672,0.0,1.0,1.0
0,2006,0.05953179,0.0,1.0,1.0
0,2007,-0.059531806,0.0,1.0,1.0
0,2008,0.17859539,0.0,1.0,1.0
0,2009,-0.13890753,0.0,1.0,1.0
0,2010,0.57547403,0.0,1.0,1.0
0,2011,1.0120406,0.0,1.0,1.0
0,2012,2.4011159,0.0,1.0,1.0
0,2013,1.8454858,0.0,1.0,1.0
0,2014,1.3692314,0.0,1.0,1.0
0,2015,0.65484977,0.0,1.0,1.0
0,2016,-0.75366866,0.0,0.0,0.0
0,2017,-1.1758313,0.0,0.0,0.0
0,2018,-1.3706757,0.0,0.0,0.0
0,2019,-1.4356238,0.0,0.0,0.0
0,2020,-1.5330459,0.0,0.0,0.0
0,2021,-1.4356238,0.0,0.0,0.0
0,2022,-1.0784092,0.0,0.0,0.0
0,2023,-0.81861676,0.0,0.0,0.0
0,2024,0.41539726,0.0,0.0,0.0
0,2025,1.2597227,0.0,0.0,0.0
0,2026,1.2921967,0.0,0.0,0.0
0,2027,1.3896189,0.0,0.0,0.0
0,2028,1.0324043,0.0,0.0,0.0
0,2029,0.77261183,0.0,0.0,0.0
0,2030,0.77261183,0.0,0.0,0.0
0,2031,1.0324043,0.0,0.0,0.0
0,2032,1.0973524,0.0,0.0,0.0
0,2033,0.74013778,0.0,0.0,0.0
0,2034,0.3829232,0.0,0.0,0.0
0,2035,0.22055294,0.0,0.0,0.0
0,2036,-0.29903191,0.0,0.0,0.0
0,2037,-0.26655785,0.0,0.0,0.0
0,2038,0.025708618,0.0,0.0,0.0
0,2039,-0.26655785,0.0,0.0,0.0
0,2040,-0.91857356,0.0,0.0,0.0
0,2041,-1.2541649,0.0,0.0,0.0
0,2042,-1.4348679,0.0,0.0,0.0
0,2043,-1.4348679,0.0,0.0,0.0
0,2044,-1.4864973,0.0,0.0,0.0
0,2045,-1.3832384,0.0,0.0,0.0
0,2046,-1.5897561,0.0,0.0,0.0
0,2047,-0.58298229,0.0,0.0,0.0
0,2048,0.37216212,0.0,0.0,0.0
0,2049,1.198233,0.0,0.0,0.0
0,2050,1.0691594,0.0,0.0,0.0
0,2051,1.1724183,0.0,0.0,0.0
0,2052,1.1466036,0.0,0.0,0.0
0,2053,0.63030926,0.0,0.0,0.0
0,2054,0.86264169,0.0,0.0,0.0
0,2055,0.99171525,0.0,0.0,0.0
0,2056,0.96590053,0.0,0.0,0.0
0,2057,0.78519754,0.0,0.0,0.0
0,2058,0.50123569,0.0,0.0,0.0
0,2059,0.21727384,0.0,0.0,0.0
0,2060,-0.015058583,0.0,0.0,0.0
0,2061,-0.092502724,0.0,0.0,0.0
0,2062,0.29471799,0.0,0.0,0.0
0,2063,-0.015058583,0.0,0.0,0.0
0,2064,0.11858497,0.0,1.0,0.0
0,2065,-0.5804422,0.0,1.0,0.0
0,2066,-1.1296778,0.0,1.0,0.0
0,2067,-1.2794694,0.0,1.0,0.0
0,2068,-1.3293999,0.0,1.0,0.0
0,2069,-1.2794694,0.0,1.0,0.0
0,2070,-1.9784965,0.0,1.0,0.0
0,2071,-1.0298168,0.0,1.0,0.0
0,2072,0.46809855,0.0,1.0,0.0
0,2073,1.4667088,0.0,1.0,0.0
0,2074,1.8162224,0.0,1.0,0.0
0,2075,1.8162224,0.0,1.0,0.0
0,2076,1.2170562,0.0,1.0,0.0
