tsid,time,0,lof,isof,ee
0,0,0.47297301,0.0,0.0,1.0
0,1,-0.39603003,0.0,0.0,1.0
0,2,-0.72190616,0.0,0.0,1.0
0,3,-1.1564077,0.0,0.0,1.0
0,4,-1.2107204,0.0,0.0,1.0
0,5,-1.0477823,0.0,0.0,1.0
0,6,-0.77621885,0.0,0.0,1.0
0,7,-1.3193458,0.0,0.0,1.0
0,8,-0.83053154,0.0,0.0,1.0
0,9,0.25572225,0.0,0.0,1.0
0,10,0.96178719,0.0,0.0,1.0
0,11,1.1247253,0.0,0.0,1.0
0,12,0.58159839,0.0,0.0,1.0
0,13,0.20140956,0.0,0.0,1.0
0,14,-0.23309196,0.0,0.0,1.0
0,15,-0.34171734,0.0,0.0,1.0
0,16,-0.66759347,0.0,0.0,1.0
0,17,-0.72190616,0.0,0.0,1.0
0,18,-0.45034272,0.0,0.0,1.0
0,19,-0.015841201,0.0,0.0,1.0
0,20,0.79884913,0.0,0.0,1.0
0,21,2.2652918,0.0,0.0,1.0
0,22,1.9394156,0.0,0.0,1.0
0,23,1.2876634,0.0,0.0,1.0
0,24,-1.0987371,0.0,0.0,0.0
0,25,-1.1345655,0.0,0.0,0.0
0,26,-1.6003345,0.0,0.0,0.0
0,27,-1.7078197,0.0,0.0,0.0
0,28,-1.6361629,0.0,0.0,0.0
0,29,-1.457021,0.0,0.0,0.0
0,30,-1.0270804,0.0,0.0,0.0
0,31,-0.7046249,0.0,0.0,0.0
0,32,0.4777118,0.0,0.0,0.0
0,33,1.2301079,0.0,0.0,0.0
0,34,1.2659363,0.0,0.0,0.0
0,35,1.1226227,0.0,0.0,0.0
0,36,0.76433888,0.0,0.0,0.0
0,37,0.65685372,0.0,0.0,0.0
0,38,0.51354018,0.0,0.0,0.0
0,39,0.62102534,0.0,0.0,0.0
0,40,0.72851049,0.0,0.0,0.0
0,41,0.37022664,0.0,0.0,0.0
0,42,0.40605503,0.0,0.0,0.0
0,43,0.37022664,0.0,0.0,0.0
0,44,0.083599559,0.0,0.0,0.0
0,45,1.0151376,0.0,0.0,0.0
0,46,0.62102534,0.0,0.0,0.0
0,47,0.11942795,0.0,0.0,0.0
0,48,-1.0294417,0.0,0.0,0.0
0,49,-1.2401589,0.0,0.0,0.0
0,50,-1.3455176,0.0,0.0,0.0
0,51,-1.5562348,0.0,0.0,0.0
